"id","time","actor","action","content","type"
"LOG_001","1395719225","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_001","1395724525","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_001","1395732375","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_033","1395732405","先生1","コース情報変化","データベースでコースID（35)が は変更した","オペレーション"
"LOG_001","1395732642","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1395732828","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_001","1395732997","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_001","1395733080","学生12","ログイン","学生 duc はログインできた","オペレーション"
"AD_LOG_01_001","1395734281","","View list students user","Admin:  View list students user","operation"
"AD_LOG_02_001","1395734283","","View list teachers user","Admin:  View list teachers user","operation"
"AD_LOG_04_001","1395734286","","View profile of an user","Admin:  view an user profile","operation"
"AD_LOG_02_001","1395734309","","View list teachers user","Admin:  View list teachers user","operation"
"AD_LOG_27_001","1395734311","","List all course copyright report","Admin  view all course copyright report","operation"
"AD_LOG_27_001","1395734317","","List all document copyright report","Admin  view all document copyright report","operation"
"AD_LOG_02_001","1395734326","","View list teachers user","Admin:  View list teachers user","operation"
"AD_LOG_02_001","1395734327","","View list teachers user","Admin:  View list teachers user","operation"
"AD_LOG_39_001","1395734329","","View backup/restore screeen","Admin: View backup/restore screeen","operation"
"AD_LOG_35_001","1395734332","","Backup system database","Admin: Backup system database","operation"
"AD_LOG_39_001","1395734332","","View backup/restore screeen","Admin: View backup/restore screeen","operation"
"AD_LOG_35_001","1395734341","","Backup system database","Admin: Backup system database","operation"
"AD_LOG_39_001","1395734342","","View backup/restore screeen","Admin: View backup/restore screeen","operation"
"AD_LOG_35_001","1395734380","","Backup system database","Admin: Backup system database","operation"
"AD_LOG_39_001","1395734380","","View backup/restore screeen","Admin: View backup/restore screeen","operation"
"AD_LOG_39_001","1395734444","","View backup/restore screeen","Admin: View backup/restore screeen","operation"
"AD_LOG_35_001","1395734446","","Backup system database","Admin: Backup system database","operation"
"AD_LOG_39_001","1395734446","","View backup/restore screeen","Admin: View backup/restore screeen","operation"
"AD_LOG_35_001","1395734482","","Backup system database","Admin: Backup system database","operation"
"AD_LOG_39_001","1395734482","","View backup/restore screeen","Admin: View backup/restore screeen","operation"
"AD_LOG_39_001","1395734533","","View backup/restore screeen","Admin: View backup/restore screeen","operation"
"AD_LOG_35_001","1395734536","","Backup system database","Admin: Backup system database","operation"
"AD_LOG_39_001","1395734536","","View backup/restore screeen","Admin: View backup/restore screeen","operation"
"AD_LOG_27_001","1395734595","","List all course copyright report","Admin  view all course copyright report","operation"
"AD_LOG_24_001","1395734601","","View monthly payment file　list","View monthly payment file　list","operation"
"AD_LOG_23_001","1395734743","","View monthly payment of system","Admin:  View 2014/03 payment","operation"
"AD_LOG_25_001","1395734829","","Create monthly payment file","Admin: Create 2014/03 payment file","operation"
"AD_LOG_25_001","1395734948","","Create monthly payment file","Admin: Create 2014/03 payment file","operation"
"AD_LOG_24_001","1395734954","","View monthly payment file　list","View monthly payment file　list","operation"
"AD_LOG_26_001","1395734958","","Download monthly payment file","Admin: download file: ELS-UBT-2014-03.tsv","operation"
"AD_LOG_33_001","1395734991","","View system parameters","Admin: View system parameters","operation"
"AD_LOG_08_001","1395735030","","View list course","Admin: View courses list","operation"
"AD_LOG_12_001","1395735032","","View detail of a course","Admin: View detail of course has id: 19","operation"
"AD_LOG_08_001","1395735044","","View list course","Admin: View courses list","operation"
"AD_LOG_12_001","1395735046","","View detail of a course","Admin: View detail of course has id: 28","operation"
"AD_LOG_08_001","1395735049","","View list course","Admin: View courses list","operation"
"AD_LOG_27_001","1395735052","","List all course copyright report","Admin  view all course copyright report","operation"
"AD_LOG_27_001","1395735057","","List all document copyright report","Admin  view all document copyright report","operation"
"AD_LOG_17_001","1395735066","","Admin Edit profile","Admin:  view profile","operation"
"AD_LOG_20_001","1395735069","","Change Ip","Admin:  change ip of 15","operation"
"AD_LOG_20_001","1395735118","","Change Ip","Admin:  change ip of 15","operation"
"AD_LOG_20_001","1395735228","","Change Ip","Admin:  change ip of 15","operation"
"AD_LOG_20_001","1395735248","","Change Ip","Admin:  change ip of ","operation"
"AD_LOG_20_001","1395735268","","Change Ip","Admin:  change ip of ","operation"
"AD_LOG_17_001","1395735304","","Admin Edit profile","Admin:  view profile","operation"
"AD_LOG_18_001","1395735307","","Admin Edit profile","Admin:  edit password","operation"
"AD_LOG_19_001","1395735310","","Change admin password","Admin:  change password","operation"
"AD_LOG_19_001","1395735312","","Change admin password","Admin:  change password","operation"
"AD_LOG_20_001","1395735320","","Change Ip","Admin:  change ip of 15","operation"
"AD_LOG_17_001","1395735345","","Admin Edit profile","Admin:  view profile","operation"
"AD_LOG_20_001","1395735374","","Change Ip","Admin:  change ip of 15","operation"
"AD_LOG_20_001","1395735482","","Change Ip","Admin:  change ip of 15","operation"
"AD_LOG_20_001","1395735498","","Change Ip","Admin:  change ip of 15","operation"
"AD_LOG_20_001","1395735508","","Change Ip","Admin:  change ip of 15","operation"
"AD_LOG_20_001","1395735531","","Change Ip","Admin:  change ip of 15","operation"
"AD_LOG_20_001","1395735565","","Change Ip","Admin:  change ip of 15","operation"
"AD_LOG_20_001","1395735570","","Change Ip","Admin:  change ip of 15","operation"
"AD_LOG_20_001","1395735592","","Change Ip","Admin:  change ip of 15","operation"
"AD_LOG_20_001","1395735601","","Change Ip","Admin:  change ip of 15","operation"
"AD_LOG_20_001","1395735805","","Change Ip","Admin:  change ip of 15","operation"
"AD_LOG_20_001","1395735822","","Change Ip","Admin:  change ip of 15","operation"
"AD_LOG_17_001","1395735861","15","Admin Edit profile","Admin: 15 view profile","operation"
"AD_LOG_20_001","1395735862","15","Change Ip","Admin: 15 change ip of 15","operation"
"AD_LOG_20_001","1395735903","15","Change Ip","Admin: 15 change ip of 15","operation"
"AD_LOG_39_001","1395735907","15","View backup/restore screeen","Admin: 15View backup/restore screeen","operation"
"AD_LOG_35_001","1395735910","15","Backup system database","Admin: 15Backup system database","operation"
"AD_LOG_39_001","1395735910","15","View backup/restore screeen","Admin: 15View backup/restore screeen","operation"
"AD_LOG_39_001","1395735970","15","View backup/restore screeen","Admin: 15View backup/restore screeen","operation"
"AD_LOG_35_001","1395736021","15","Backup system database","Admin: 15Backup system database","operation"
"AD_LOG_35_001","1395736023","15","Backup system database","Admin: 15Backup system database","operation"
"AD_LOG_35_001","1395736023","15","Backup system database","Admin: 15Backup system database","operation"
"AD_LOG_35_001","1395736024","15","Backup system database","Admin: 15Backup system database","operation"
"AD_LOG_35_001","1395736024","15","Backup system database","Admin: 15Backup system database","operation"
"AD_LOG_35_001","1395736024","15","Backup system database","Admin: 15Backup system database","operation"
"AD_LOG_35_001","1395736043","15","Backup system database","Admin: 15Backup system database","operation"
"AD_LOG_35_001","1395736093","15","Backup system database","Admin: 15Backup system database","operation"
"AD_LOG_35_001","1395736124","15","Backup system database","Admin: 15Backup system database","operation"
"AD_LOG_39_001","1395736124","15","View backup/restore screeen","Admin: 15View backup/restore screeen","operation"
"LOG_001","1395736278","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_006","1395736399","1","プロファイル変化","先生 1 は自分のプロファイル変化する","オペレーション"
"LOG_007","1395736399","システム","プロファイル変化","先生 1 は自分のプロファイル変化できる","イベント"
"LOG_033","1395736439","先生1","コース情報変化","データベースでコースID（35)が は変更した","オペレーション"